Running model: Q1_ExRNN_hidden64
Epoch [3/10] | Step [550/938] | Train Loss: 0.6737 | Test Loss: 0.6966 | Train Acc: 0.5119 | Test Acc: 0.5742
Epoch [3/10] | Step [600/938] | Train Loss: 0.7323 | Test Loss: 0.7289 | Train Acc: 0.4754 | Test Acc: 0.4398
Epoch [3/10] | Step [650/938] | Train Loss: 0.6711 | Test Loss: 0.7168 | Train Acc: 0.6238 | Test Acc: 0.5130
Epoch [3/10] | Step [700/938] | Train Loss: 0.6909 | Test Loss: 0.6646 | Train Acc: 0.5626 | Test Acc: 0.6276
Epoch [3/10] | Step [750/938] | Train Loss: 0.7283 | Test Loss: 0.7122 | Train Acc: 0.5010 | Test Acc: 0.4255
Epoch [3/10] | Step [800/938] | Train Loss: 0.7035 | Test Loss: 0.6826 | Train Acc: 0.5323 | Test Acc: 0.6101
Epoch [3/10] | Step [850/938] | Train Loss: 0.6130 | Test Loss: 0.6849 | Train Acc: 0.5895 | Test Acc: 0.5220
Epoch [3/10] | Step [900/938] | Train Loss: 0.6530 | Test Loss: 0.6472 | Train Acc: 0.6811 | Test Acc: 0.6544
Epoch [4/10] | Step [50/938] | Train Loss: 0.6676 | Test Loss: 0.6973 | Train Acc: 0.6401 | Test Acc: 0.4059
Epoch [4/10] | Step [100/938] | Train Loss: 0.6443 | Test Loss: 0.6665 | Train Acc: 0.6191 | Test Acc: 0.5562
Epoch [4/10] | Step [150/938] | Train Loss: 0.6104 | Test Loss: 0.6488 | Train Acc: 0.6434 | Test Acc: 0.5862
Epoch [4/10] | Step [200/938] | Train Loss: 0.7167 | Test Loss: 0.6700 | Train Acc: 0.3910 | Test Acc: 0.5922
Epoch [4/10] | Step [250/938] | Train Loss: 0.6907 | Test Loss: 0.6858 | Train Acc: 0.5133 | Test Acc: 0.4934
Epoch [4/10] | Step [300/938] | Train Loss: 0.6933 | Test Loss: 0.7027 | Train Acc: 0.6352 | Test Acc: 0.4237
Epoch [4/10] | Step [350/938] | Train Loss: 0.6826 | Test Loss: 0.6914 | Train Acc: 0.6217 | Test Acc: 0.5597
Epoch [4/10] | Step [400/938] | Train Loss: 0.6896 | Test Loss: 0.6916 | Train Acc: 0.5274 | Test Acc: 0.5619
Epoch [4/10] | Step [450/938] | Train Loss: 0.6913 | Test Loss: 0.7036 | Train Acc: 0.5219 | Test Acc: 0.5374
Epoch [4/10] | Step [500/938] | Train Loss: 0.7163 | Test Loss: 0.7122 | Train Acc: 0.5226 | Test Acc: 0.5075
Epoch [4/10] | Step [550/938] | Train Loss: 0.6876 | Test Loss: 0.6431 | Train Acc: 0.5451 | Test Acc: 0.6265
Epoch [4/10] | Step [600/938] | Train Loss: 0.6737 | Test Loss: 0.7141 | Train Acc: 0.5485 | Test Acc: 0.5253
Epoch [4/10] | Step [650/938] | Train Loss: 0.6506 | Test Loss: 0.7160 | Train Acc: 0.6631 | Test Acc: 0.5301
Epoch [4/10] | Step [700/938] | Train Loss: 0.7001 | Test Loss: 0.7204 | Train Acc: 0.5020 | Test Acc: 0.4310
Epoch [4/10] | Step [750/938] | Train Loss: 0.5716 | Test Loss: 0.6579 | Train Acc: 0.7556 | Test Acc: 0.5862
Epoch [4/10] | Step [800/938] | Train Loss: 0.7055 | Test Loss: 0.6437 | Train Acc: 0.5365 | Test Acc: 0.6672
Epoch [4/10] | Step [850/938] | Train Loss: 0.7257 | Test Loss: 0.6775 | Train Acc: 0.3938 | Test Acc: 0.5084
Epoch [4/10] | Step [900/938] | Train Loss: 0.6190 | Test Loss: 0.6422 | Train Acc: 0.7127 | Test Acc: 0.6267
Epoch [5/10] | Step [50/938] | Train Loss: 0.6682 | Test Loss: 0.6442 | Train Acc: 0.5984 | Test Acc: 0.6503
Epoch [5/10] | Step [100/938] | Train Loss: 0.6584 | Test Loss: 0.6399 | Train Acc: 0.6869 | Test Acc: 0.6801
Epoch [5/10] | Step [150/938] | Train Loss: 0.7214 | Test Loss: 0.6962 | Train Acc: 0.5015 | Test Acc: 0.5860
Epoch [5/10] | Step [200/938] | Train Loss: 0.6833 | Test Loss: 0.7258 | Train Acc: 0.5421 | Test Acc: 0.4672
Epoch [5/10] | Step [250/938] | Train Loss: 0.6357 | Test Loss: 0.6527 | Train Acc: 0.7091 | Test Acc: 0.5684
Epoch [5/10] | Step [300/938] | Train Loss: 0.5844 | Test Loss: 0.6430 | Train Acc: 0.7541 | Test Acc: 0.6387
Epoch [5/10] | Step [350/938] | Train Loss: 0.6154 | Test Loss: 0.6468 | Train Acc: 0.6557 | Test Acc: 0.6777
Epoch [5/10] | Step [400/938] | Train Loss: 0.6893 | Test Loss: 0.6670 | Train Acc: 0.5321 | Test Acc: 0.6355
Epoch [5/10] | Step [450/938] | Train Loss: 0.6977 | Test Loss: 0.6843 | Train Acc: 0.4221 | Test Acc: 0.5771
Epoch [5/10] | Step [500/938] | Train Loss: 0.6756 | Test Loss: 0.6824 | Train Acc: 0.5586 | Test Acc: 0.6404
Epoch [5/10] | Step [550/938] | Train Loss: 0.6806 | Test Loss: 0.6959 | Train Acc: 0.5620 | Test Acc: 0.5781
Epoch [5/10] | Step [600/938] | Train Loss: 0.6562 | Test Loss: 0.7000 | Train Acc: 0.6910 | Test Acc: 0.5156
Epoch [5/10] | Step [650/938] | Train Loss: 0.6634 | Test Loss: 0.6405 | Train Acc: 0.6438 | Test Acc: 0.7281
Epoch [5/10] | Step [700/938] | Train Loss: 0.6594 | Test Loss: 0.6822 | Train Acc: 0.6005 | Test Acc: 0.6706
Epoch [5/10] | Step [750/938] | Train Loss: 0.6587 | Test Loss: 0.6886 | Train Acc: 0.6654 | Test Acc: 0.5591
Epoch [5/10] | Step [800/938] | Train Loss: 0.7119 | Test Loss: 0.6649 | Train Acc: 0.5083 | Test Acc: 0.6618
Epoch [5/10] | Step [850/938] | Train Loss: 0.6244 | Test Loss: 0.6317 | Train Acc: 0.5806 | Test Acc: 0.6574
Epoch [5/10] | Step [900/938] | Train Loss: 0.6865 | Test Loss: 0.6887 | Train Acc: 0.6177 | Test Acc: 0.4565
Epoch [6/10] | Step [50/938] | Train Loss: 0.6643 | Test Loss: 0.6496 | Train Acc: 0.6000 | Test Acc: 0.6163
Epoch [6/10] | Step [100/938] | Train Loss: 0.5873 | Test Loss: 0.5943 | Train Acc: 0.7378 | Test Acc: 0.7483
Epoch [6/10] | Step [150/938] | Train Loss: 0.6943 | Test Loss: 0.6435 | Train Acc: 0.5633 | Test Acc: 0.6497
Epoch [6/10] | Step [200/938] | Train Loss: 0.6666 | Test Loss: 0.6545 | Train Acc: 0.6047 | Test Acc: 0.6049
Epoch [6/10] | Step [250/938] | Train Loss: 0.6880 | Test Loss: 0.6854 | Train Acc: 0.5989 | Test Acc: 0.4960
Epoch [6/10] | Step [300/938] | Train Loss: 0.6659 | Test Loss: 0.6473 | Train Acc: 0.6162 | Test Acc: 0.6742
Epoch [6/10] | Step [350/938] | Train Loss: 0.6870 | Test Loss: 0.6774 | Train Acc: 0.5568 | Test Acc: 0.6098
Epoch [6/10] | Step [400/938] | Train Loss: 0.7018 | Test Loss: 0.6982 | Train Acc: 0.4770 | Test Acc: 0.4970
Epoch [6/10] | Step [450/938] | Train Loss: 0.6829 | Test Loss: 0.6948 | Train Acc: 0.6436 | Test Acc: 0.4744
Epoch [6/10] | Step [500/938] | Train Loss: 0.7066 | Test Loss: 0.6784 | Train Acc: 0.4705 | Test Acc: 0.5699
Epoch [6/10] | Step [550/938] | Train Loss: 0.6621 | Test Loss: 0.6776 | Train Acc: 0.6106 | Test Acc: 0.5390
Epoch [6/10] | Step [600/938] | Train Loss: 0.6991 | Test Loss: 0.6905 | Train Acc: 0.4985 | Test Acc: 0.5578
Epoch [6/10] | Step [650/938] | Train Loss: 0.6731 | Test Loss: 0.7192 | Train Acc: 0.5583 | Test Acc: 0.4366
Epoch [6/10] | Step [700/938] | Train Loss: 0.6796 | Test Loss: 0.6849 | Train Acc: 0.5261 | Test Acc: 0.5373
Epoch [6/10] | Step [750/938] | Train Loss: 0.6201 | Test Loss: 0.6779 | Train Acc: 0.7029 | Test Acc: 0.5325
Epoch [6/10] | Step [800/938] | Train Loss: 0.6889 | Test Loss: 0.6646 | Train Acc: 0.6132 | Test Acc: 0.6565
Epoch [6/10] | Step [850/938] | Train Loss: 0.7150 | Test Loss: 0.6944 | Train Acc: 0.3829 | Test Acc: 0.5313
Epoch [6/10] | Step [900/938] | Train Loss: 0.6507 | Test Loss: 0.6817 | Train Acc: 0.6680 | Test Acc: 0.6313
Epoch [7/10] | Step [50/938] | Train Loss: 0.6652 | Test Loss: 0.6885 | Train Acc: 0.6217 | Test Acc: 0.5513
Epoch [7/10] | Step [100/938] | Train Loss: 0.6646 | Test Loss: 0.6619 | Train Acc: 0.5576 | Test Acc: 0.5853
Epoch [7/10] | Step [150/938] | Train Loss: 0.6786 | Test Loss: 0.6775 | Train Acc: 0.5682 | Test Acc: 0.5671
Epoch [7/10] | Step [200/938] | Train Loss: 0.7165 | Test Loss: 0.6797 | Train Acc: 0.4084 | Test Acc: 0.5884
Epoch [7/10] | Step [250/938] | Train Loss: 0.6889 | Test Loss: 0.6955 | Train Acc: 0.5855 | Test Acc: 0.5427
Epoch [7/10] | Step [300/938] | Train Loss: 0.7374 | Test Loss: 0.6748 | Train Acc: 0.4663 | Test Acc: 0.5835
Epoch [7/10] | Step [350/938] | Train Loss: 0.7034 | Test Loss: 0.6709 | Train Acc: 0.4690 | Test Acc: 0.5667
Epoch [7/10] | Step [400/938] | Train Loss: 0.7074 | Test Loss: 0.7045 | Train Acc: 0.5429 | Test Acc: 0.5633
Epoch [7/10] | Step [450/938] | Train Loss: 0.6849 | Test Loss: 0.6542 | Train Acc: 0.5419 | Test Acc: 0.5877
Epoch [7/10] | Step [500/938] | Train Loss: 0.6770 | Test Loss: 0.6626 | Train Acc: 0.5615 | Test Acc: 0.6175
Epoch [7/10] | Step [550/938] | Train Loss: 0.6938 | Test Loss: 0.6816 | Train Acc: 0.5038 | Test Acc: 0.5485
Epoch [7/10] | Step [600/938] | Train Loss: 0.7055 | Test Loss: 0.6855 | Train Acc: 0.4779 | Test Acc: 0.5847
Epoch [7/10] | Step [650/938] | Train Loss: 0.6731 | Test Loss: 0.6887 | Train Acc: 0.6411 | Test Acc: 0.5919
Epoch [7/10] | Step [700/938] | Train Loss: 0.7002 | Test Loss: 0.7136 | Train Acc: 0.4120 | Test Acc: 0.4184
Epoch [7/10] | Step [750/938] | Train Loss: 0.6806 | Test Loss: 0.6878 | Train Acc: 0.5682 | Test Acc: 0.5837
Epoch [7/10] | Step [800/938] | Train Loss: 0.6321 | Test Loss: 0.6729 | Train Acc: 0.7341 | Test Acc: 0.5667
Epoch [7/10] | Step [850/938] | Train Loss: 0.6420 | Test Loss: 0.6816 | Train Acc: 0.6637 | Test Acc: 0.6133
Epoch [7/10] | Step [900/938] | Train Loss: 0.7073 | Test Loss: 0.6697 | Train Acc: 0.3920 | Test Acc: 0.6977
Epoch [8/10] | Step [50/938] | Train Loss: 0.6715 | Test Loss: 0.6512 | Train Acc: 0.5379 | Test Acc: 0.6145
Epoch [8/10] | Step [100/938] | Train Loss: 0.7304 | Test Loss: 0.6944 | Train Acc: 0.4184 | Test Acc: 0.4979
Epoch [8/10] | Step [150/938] | Train Loss: 0.6920 | Test Loss: 0.6943 | Train Acc: 0.5331 | Test Acc: 0.5746
Epoch [8/10] | Step [200/938] | Train Loss: 0.7061 | Test Loss: 0.6666 | Train Acc: 0.5015 | Test Acc: 0.5649
Epoch [8/10] | Step [250/938] | Train Loss: 0.7002 | Test Loss: 0.6417 | Train Acc: 0.5172 | Test Acc: 0.6630
Epoch [8/10] | Step [300/938] | Train Loss: 0.6400 | Test Loss: 0.6492 | Train Acc: 0.6070 | Test Acc: 0.6326
Epoch [8/10] | Step [350/938] | Train Loss: 0.7098 | Test Loss: 0.6479 | Train Acc: 0.5347 | Test Acc: 0.6015
Epoch [8/10] | Step [400/938] | Train Loss: 0.7365 | Test Loss: 0.6849 | Train Acc: 0.4499 | Test Acc: 0.4703
Epoch [8/10] | Step [450/938] | Train Loss: 0.7011 | Test Loss: 0.7106 | Train Acc: 0.5727 | Test Acc: 0.5191
Epoch [8/10] | Step [500/938] | Train Loss: 0.6350 | Test Loss: 0.6805 | Train Acc: 0.6508 | Test Acc: 0.5788
Epoch [8/10] | Step [550/938] | Train Loss: 0.6380 | Test Loss: 0.6638 | Train Acc: 0.6980 | Test Acc: 0.5908
Epoch [8/10] | Step [600/938] | Train Loss: 0.7431 | Test Loss: 0.6994 | Train Acc: 0.4397 | Test Acc: 0.5932
Epoch [8/10] | Step [650/938] | Train Loss: 0.7133 | Test Loss: 0.6837 | Train Acc: 0.5005 | Test Acc: 0.5186
Epoch [8/10] | Step [700/938] | Train Loss: 0.6777 | Test Loss: 0.6705 | Train Acc: 0.5768 | Test Acc: 0.6037
Epoch [8/10] | Step [750/938] | Train Loss: 0.6510 | Test Loss: 0.7125 | Train Acc: 0.5906 | Test Acc: 0.5207
Epoch [8/10] | Step [800/938] | Train Loss: 0.6678 | Test Loss: 0.6736 | Train Acc: 0.6191 | Test Acc: 0.6541
Epoch [8/10] | Step [850/938] | Train Loss: 0.6512 | Test Loss: 0.6513 | Train Acc: 0.6261 | Test Acc: 0.6808
Epoch [8/10] | Step [900/938] | Train Loss: 0.6533 | Test Loss: 0.6473 | Train Acc: 0.6511 | Test Acc: 0.6112
Epoch [9/10] | Step [50/938] | Train Loss: 0.6316 | Test Loss: 0.6871 | Train Acc: 0.6197 | Test Acc: 0.5472
Epoch [9/10] | Step [100/938] | Train Loss: 0.6742 | Test Loss: 0.6723 | Train Acc: 0.6161 | Test Acc: 0.5844
Epoch [9/10] | Step [150/938] | Train Loss: 0.6724 | Test Loss: 0.6719 | Train Acc: 0.6131 | Test Acc: 0.5919
Epoch [9/10] | Step [200/938] | Train Loss: 0.6743 | Test Loss: 0.6581 | Train Acc: 0.6095 | Test Acc: 0.6434
Epoch [9/10] | Step [250/938] | Train Loss: 0.7101 | Test Loss: 0.6647 | Train Acc: 0.4343 | Test Acc: 0.6037
Epoch [9/10] | Step [300/938] | Train Loss: 0.7816 | Test Loss: 0.6747 | Train Acc: 0.3540 | Test Acc: 0.4707
Epoch [9/10] | Step [350/938] | Train Loss: 0.6944 | Test Loss: 0.6688 | Train Acc: 0.5289 | Test Acc: 0.5441
Epoch [9/10] | Step [400/938] | Train Loss: 0.8075 | Test Loss: 0.6605 | Train Acc: 0.4850 | Test Acc: 0.6088
Epoch [9/10] | Step [450/938] | Train Loss: 0.7043 | Test Loss: 0.6086 | Train Acc: 0.5949 | Test Acc: 0.6968
Epoch [9/10] | Step [500/938] | Train Loss: 0.6847 | Test Loss: 0.6876 | Train Acc: 0.5541 | Test Acc: 0.5394
Epoch [9/10] | Step [550/938] | Train Loss: 0.6987 | Test Loss: 0.6982 | Train Acc: 0.5400 | Test Acc: 0.4579
Epoch [9/10] | Step [600/938] | Train Loss: 0.6848 | Test Loss: 0.6806 | Train Acc: 0.5595 | Test Acc: 0.5166
Epoch [9/10] | Step [650/938] | Train Loss: 0.6446 | Test Loss: 0.7008 | Train Acc: 0.6455 | Test Acc: 0.5033
Epoch [9/10] | Step [700/938] | Train Loss: 0.6064 | Test Loss: 0.7239 | Train Acc: 0.7080 | Test Acc: 0.5257
Epoch [9/10] | Step [750/938] | Train Loss: 0.6659 | Test Loss: 0.7144 | Train Acc: 0.6666 | Test Acc: 0.3801
Epoch [9/10] | Step [800/938] | Train Loss: 0.7114 | Test Loss: 0.6744 | Train Acc: 0.4465 | Test Acc: 0.5760
Epoch [9/10] | Step [850/938] | Train Loss: 0.6851 | Test Loss: 0.6751 | Train Acc: 0.5768 | Test Acc: 0.6652
Epoch [9/10] | Step [900/938] | Train Loss: 0.6743 | Test Loss: 0.6948 | Train Acc: 0.6463 | Test Acc: 0.4580
Epoch [10/10] | Step [50/938] | Train Loss: 0.6967 | Test Loss: 0.6850 | Train Acc: 0.5286 | Test Acc: 0.5166
Epoch [10/10] | Step [100/938] | Train Loss: 0.6723 | Test Loss: 0.6622 | Train Acc: 0.6013 | Test Acc: 0.5783
Epoch [10/10] | Step [150/938] | Train Loss: 0.6652 | Test Loss: 0.7058 | Train Acc: 0.5109 | Test Acc: 0.4657
Epoch [10/10] | Step [200/938] | Train Loss: 0.6755 | Test Loss: 0.7259 | Train Acc: 0.5143 | Test Acc: 0.4931
Epoch [10/10] | Step [250/938] | Train Loss: 0.6895 | Test Loss: 0.6981 | Train Acc: 0.4811 | Test Acc: 0.5236
Epoch [10/10] | Step [300/938] | Train Loss: 0.6653 | Test Loss: 0.6383 | Train Acc: 0.5572 | Test Acc: 0.6547
Epoch [10/10] | Step [350/938] | Train Loss: 0.7000 | Test Loss: 0.6660 | Train Acc: 0.5065 | Test Acc: 0.6809
Epoch [10/10] | Step [400/938] | Train Loss: 0.6837 | Test Loss: 0.6640 | Train Acc: 0.5060 | Test Acc: 0.5612
Epoch [10/10] | Step [450/938] | Train Loss: 0.6845 | Test Loss: 0.6718 | Train Acc: 0.5872 | Test Acc: 0.5872
Epoch [10/10] | Step [500/938] | Train Loss: 0.6594 | Test Loss: 0.6784 | Train Acc: 0.5910 | Test Acc: 0.6424
Epoch [10/10] | Step [550/938] | Train Loss: 0.6867 | Test Loss: 0.6945 | Train Acc: 0.4893 | Test Acc: 0.4535
Epoch [10/10] | Step [600/938] | Train Loss: 0.6555 | Test Loss: 0.6877 | Train Acc: 0.5525 | Test Acc: 0.4907
Epoch [10/10] | Step [650/938] | Train Loss: 0.6610 | Test Loss: 0.7106 | Train Acc: 0.5906 | Test Acc: 0.4731
Epoch [10/10] | Step [700/938] | Train Loss: 0.6695 | Test Loss: 0.6794 | Train Acc: 0.6309 | Test Acc: 0.5946
Epoch [10/10] | Step [750/938] | Train Loss: 0.6187 | Test Loss: 0.6639 | Train Acc: 0.6442 | Test Acc: 0.6189
Epoch [10/10] | Step [800/938] | Train Loss: 0.6544 | Test Loss: 0.6412 | Train Acc: 0.5612 | Test Acc: 0.5988
Epoch [10/10] | Step [850/938] | Train Loss: 0.7213 | Test Loss: 0.6464 | Train Acc: 0.3849 | Test Acc: 0.6448
Epoch [10/10] | Step [900/938] | Train Loss: 0.6577 | Test Loss: 0.6702 | Train Acc: 0.6157 | Test Acc: 0.6290
Running model: Q1_ExGRU_hidden64
Epoch [1/10] | Step [50/938] | Train Loss: 0.7177 | Test Loss: 0.7513 | Train Acc: 0.4485 | Test Acc: 0.5250
Epoch [1/10] | Step [100/938] | Train Loss: 0.6889 | Test Loss: 0.7422 | Train Acc: 0.4624 | Test Acc: 0.4800
Epoch [1/10] | Step [150/938] | Train Loss: 0.6318 | Test Loss: 0.6060 | Train Acc: 0.6668 | Test Acc: 0.7210
Epoch [1/10] | Step [200/938] | Train Loss: 0.6394 | Test Loss: 0.7364 | Train Acc: 0.6385 | Test Acc: 0.4942
Epoch [1/10] | Step [250/938] | Train Loss: 0.4523 | Test Loss: 0.7081 | Train Acc: 0.8036 | Test Acc: 0.5238
Epoch [1/10] | Step [300/938] | Train Loss: 0.4171 | Test Loss: 0.5498 | Train Acc: 0.8290 | Test Acc: 0.7048
Epoch [1/10] | Step [350/938] | Train Loss: 0.5111 | Test Loss: 0.5988 | Train Acc: 0.8381 | Test Acc: 0.7660
